School,Division,Team,City,State,Primary Conference
Bethel University,D3,Royals,Arden Hills,Minnesota,Minnesota Intercollegiate Athletic Conference
Birmingham-Southern College,D3,Panthers,Birmingham,Alabama,Southern Athletic Association
Blackburn College,D3,Beavers,Carlinville,Illinois,St. Louis Intercollegiate Athletic Conference
Bluffton University,D3,Beavers,Bluffton,Ohio,Heartland Collegiate Athletic Conference
Bowdoin College,D3,Polar Bears,Brunswick,Maine,New England Small College Athletic Conference
Brandeis University,D3,Judges,Waltham,Massachusetts,University Athletic Association
Brevard College,D3,Tornados,Brevard,North Carolina,USA South Athletic Conference
Bridgewater College,D3,Eagles,Bridgewater,Virginia,Old Dominion Athletic Conference
Bridgewater State University,D3,Bears,Bridgewater,Massachusetts,Massachusetts State Collegiate Athletic Conference
Brooklyn College,D3,Bulldogs,Brooklyn,New York,City University of New York Athletic Conference
Bryn Athyn College,D3,Lions,Bryn Athyn,Pennsylvania,Colonial States Athletic Conference
Bryn Mawr College,D3,Owls,Bryn Mawr,Pennsylvania,Centennial Conference
Buena Vista University,D3,Beavers,Storm Lake,Iowa,Iowa Intercollegiate Athletic Conference
Buffalo State College,D3,Bengals,Buffalo,New York,State University of New York Athletic Conference
Cabrini University,D3,Cavaliers,Radnor,Pennsylvania,Atlantic East Conference
Cairn University,D3,Highlanders,Langhorne,Pennsylvania,Colonial States Athletic Conference
California Institute of Technology,D3,Beavers,Pasadena,California,Southern California Intercollegiate Athletic Conference
California Lutheran University,D3,Kingsmen,Thousand Oaks,California,Southern California Intercollegiate Athletic Conference
University of California, Santa Cruz,D3,Banana Slugs,Santa Cruz,California,Independent
Calvin College,D3,Knights,Grand Rapids,Michigan,Michigan Intercollegiate Athletic Association
Capital University,D3,Crusaders,Columbus,Ohio,Ohio Athletic Conference
Carleton College,D3,Knights,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference
Carnegie Mellon University,D3,Tartans,Pittsburgh,Pennsylvania,University Athletic Association
Carroll University,D3,Pioneers,Waukesha,Wisconsin,College Conference of Illinois and Wisconsin
Carthage College,D3,Red Men/Lady Reds,Kenosha,Wisconsin,College Conference of Illinois and Wisconsin
Case Western Reserve University,D3,Spartans,Cleveland,Ohio,University Athletic Association
Castleton University,D3,Spartans,Castleton,Vermont,Little East Conference
Catholic University of America,D3,Cardinals,Washington,District of Columbia,Landmark Conference
Cazenovia College,D3,Wildcats,Cazenovia,New York,North Eastern Athletic Conference
Cedar Crest College,D3,Falcons,Allentown,Pennsylvania,Colonial States Athletic Conference
Centenary College of Louisiana,D3,Gents and Ladies,Shreveport,Louisiana,Southern Collegiate Athletic Conference
Centenary College of New Jersey,D3,Cyclones,Hackettstown,New Jersey,Colonial States Athletic Conference
Central College,D3,Dutch,Pella,Iowa,Iowa Intercollegiate Athletic Conference
Centre College,D3,Colonels,Danville,Kentucky,Southern Athletic Association
Chapman University,D3,Panthers,Orange,California,Southern California Intercollegiate Athletic Conference
Chatham University,D3,Cougars,Pittsburgh,Pennsylvania,Presidents' Athletic Conference
University of Chicago,D3,Maroons,Chicago,Illinois,University Athletic Association
Christopher Newport University,D3,Captains,Newport News,Virginia,Capital Athletic Conference
City College of New York (CCNY),D3,Beavers,New York,New York,City University of New York Athletic Conference
Claremont-Mudd-Scripps,D3,Stags and Athenas,Claremont,California,Southern California Intercollegiate Athletic Conference
Clark University,D3,Cougars,Worcester,Massachusetts,New England Women's and Men's Athletic Conference
Clarks Summit University,D3,Defenders,Clarks Summit,Pennsylvania,Colonial States Athletic Conference
Clarkson University,D3,Golden Knights,Potsdam,New York,Liberty League
Coe College,D3,Kohawks,Cedar Rapids,Iowa,Iowa Intercollegiate Athletic Conference
Colby College,D3,White Mules,Waterville,Maine,New England Small College Athletic Conference
Colby-Sawyer College,D3,Chargers,New London,New Hampshire,Great Northeast Athletic Conference
Colorado College,D3,Tigers,Colorado Springs,Colorado,Southern Collegiate Athletic Conference
Concordia College,D3,Cobbers,Moorhead,Minnesota,Minnesota Intercollegiate Athletic Conference
Concordia University Chicago,D3,Cougars,River Forest,Illinois,Northern Athletics Collegiate Conference
Concordia University Texas,D3,Tornados,Austin,Texas,American Southwest Conference
Concordia University Wisconsin,D3,Falcons,Mequon,Wisconsin,Northern Athletics Collegiate Conference
Connecticut College,D3,Camels,New London,Connecticut,New England Small College Athletic Conference
Cornell College,D3,Rams,Mount Vernon,Iowa,Midwest Conference
Covenant College,D3,Scots,Lookout Mountain,Georgia,USA South Athletic Conference
Crown College,D3,Storm,St. Bonifacius,Minnesota,Upper Midwest Athletic Conference
Curry College,D3,Colonels,Milton,Massachusetts,Commonwealth Coast Conference
University of Dallas,D3,Crusaders,Irving,Texas,Southern Collegiate Athletic Conference
Dean College,D3,Bulldogs,Franklin,Massachusetts,New England Collegiate Conference
Defiance College,D3,Yellow Jackets and Lady Jackets,Defiance,Ohio,Heartland Collegiate Athletic Conference
